url,location,latitude,longitude,postalCode,walkScore,propertyType,style,yearBuilt,bedrooms,bathrooms,parking,garage,lotDepth,lotFrontage,price
https://www.zolo.ca/ottawa-real-estate/47-fairlop-way,"47+Fairlop+Way,Longfields+Ottawa",45.2829939,-75.7341413,K2J 5B8,,Residential,Detached,2003,3,3,4,2,30,10.77,"599,900"
https://www.zolo.ca/ottawa-real-estate/148-prem-circle,"148+Prem+Circle,Barrhaven+Ottawa",45.251649,-75.7336501,K2J 0C4,,Residential,Row Unit,2006,4,3,3,1,31.7,10.52,"499,900"
https://www.zolo.ca/ottawa-real-estate/203-catherine-street/803,"803+-+203+Catherine+Street,Ottawa",45.4102353,-75.6911328,K2P 1C3,,Residential,Apartment,2019,1,1,1,1,0,0,"429,900"
https://www.zolo.ca/ottawa-real-estate/2094-avebury-drive,"2094+Avebury+Drive,Avalon+Ottawa",45.4622585,-75.4774556,K4A 4G2,,Residential,Detached,2000,5,4,6,2,0,24.86,"599,900"
https://www.zolo.ca/ottawa-real-estate/101-wurtemburg-street/a,"A+-+101+Wurtemburg+Street,Lower+Town+Ottawa",45.435815,-75.6768697,K1N 8L9,,Residential,Row Unit,2020,3,4,2,1,0,6.5,"1,699,000"
https://www.zolo.ca/ottawa-real-estate/26-college-circle,"26+College+Circle,Castle+Heights+Ottawa",45.4370468,-75.6487745,K1K 4R7,,Residential,Row Unit,1997,3,2,3,1,32.64,6.1,"524,900"
https://www.zolo.ca/ottawa-real-estate/rr1-second-line,"RR1+Second+Line,Kars+Ottawa",45.161036,-75.684953,K0A 2E0,,Lots/Acreage,,,,,,,0,0,"1,500,000"
https://www.zolo.ca/ottawa-real-estate/1025-grenon-avenue/324,"324+-+1025+Grenon+Avenue,Fairfield+Heights+Ottawa",45.3542378,-75.7964215,K2B 8S5,62,Residential,Apartment,1990,1,1,1,1,0,0,"260,000"
https://www.zolo.ca/ottawa-real-estate/624-sora-way,"624+Sora+Way,Findlay+Creek+Ottawa",45.3136509,-75.5957656,K1T 0N7,26,Residential,Detached,2018,4,4,6,2,31,13.75,"950,000"
https://www.zolo.ca/ottawa-real-estate/373-sweet-grass-circle,"373+Sweet+Grass+Circle,Half+Moon+Bay+Ottawa",45.2480909,-75.7344766,K2J 5W9,4,Residential,Row Unit,2012,3,3,3,1,25,8.62,"498,880"
https://www.zolo.ca/ottawa-real-estate/1177-belanger-avenue/310,"310+-+1177+Belanger+Avenue,Billings+Bridge+Ottawa",45.3837884,-75.6726493,K1H 8N7,83,Residential,Apartment,1987,2,1,1,1,0,0,"199,900"
https://www.zolo.ca/ottawa-real-estate/1805-belval-crescent,"1805+Belval+Crescent,Orleans/sunridge+Ottawa",45.4601678,-75.5138382,K1C 6J5,23,Residential,Detached,1987,4,3,6,2,30.5,9.9,"549,900"
https://www.zolo.ca/ottawa-real-estate/2625-regina-street/1908,"1908+-+2625+Regina+Street,Ottawa",45.3663657,-75.7916808,K2B 5W8,59,Residential,Apartment,1975,3,1,1,1,0,0,"319,900"
https://www.zolo.ca/ottawa-real-estate/224-lyon-street/608,"608+-+224+Lyon+Street,Centretown+Ottawa",45.4159256,-75.7028331,K1R 0C1,92,Residential,Apartment,2015,1,1,0,0,0,0,"285,000"
https://www.zolo.ca/ottawa-real-estate/200-inlet-private/802,"802+-+200+Inlet+Private,Ottawa",45.4999212,-75.4790206,K4A 5H3,3,Residential,Apartment,2019,2,2,1,1,0,0,"645,000"
https://www.zolo.ca/ottawa-real-estate/540-highland-avenue,"540+Highland+Avenue,Mckellar+Park+Ottawa",45.3853729,-75.7581717,K2A 2J7,65,Residential,Detached,1912,4,3,3,1,29.6,18.29,"1,299,000"
https://www.zolo.ca/ottawa-real-estate/111-champagne-avenue/601,"601+-+111+Champagne+Avenue,Ottawa",45.3986044,-75.7111356,K1S 5V3,79,Residential,Apartment,2015,2,2,2,2,0,0,"549,000"
