id,location,latitude,longitude,postalCode,walkScore,propertyType,style,yearBuilt,bedrooms,bathrooms,parking,garage,lotDepth,lotFrontage,price
1,"47+Fairlop+Way,Longfields+Ottawa",45.2829939,-75.7341413,K2J 5B8,,Residential,Detached,2003,3,3,4,2,30,10.77,"599,900"
2,"148+Prem+Circle,Barrhaven+Ottawa",45.251649,-75.7336501,K2J 0C4,,Residential,Row Unit,2006,4,3,3,1,31.7,10.52,"499,900"
3,"803+-+203+Catherine+Street,Ottawa",45.4102353,-75.6911328,K2P 1C3,,Residential,Apartment,2019,1,1,1,1,0,0,"429,900"
4,"2094+Avebury+Drive,Avalon+Ottawa",45.4622585,-75.4774556,K4A 4G2,,Residential,Detached,2000,5,4,6,2,0,24.86,"599,900"
5,"A+-+101+Wurtemburg+Street,Lower+Town+Ottawa",45.435815,-75.6768697,K1N 8L9,,Residential,Row Unit,2020,3,4,2,1,0,6.5,"1,699,000"
6,"26+College+Circle,Castle+Heights+Ottawa",45.4370468,-75.6487745,K1K 4R7,,Residential,Row Unit,1997,3,2,3,1,32.64,6.1,"524,900"
7,"RR1+Second+Line,Kars+Ottawa",45.161036,-75.684953,K0A 2E0,,Lots/Acreage,,,,,,,0,0,"1,500,000"
8,"324+-+1025+Grenon+Avenue,Fairfield+Heights+Ottawa",45.3542378,-75.7964215,K2B 8S5,62,Residential,Apartment,1990,1,1,1,1,0,0,"260,000"
9,"624+Sora+Way,Findlay+Creek+Ottawa",45.3136509,-75.5957656,K1T 0N7,26,Residential,Detached,2018,4,4,6,2,31,13.75,"950,000"
10,"373+Sweet+Grass+Circle,Half+Moon+Bay+Ottawa",45.2480909,-75.7344766,K2J 5W9,4,Residential,Row Unit,2012,3,3,3,1,25,8.62,"498,880"
11,"310+-+1177+Belanger+Avenue,Billings+Bridge+Ottawa",45.3837884,-75.6726493,K1H 8N7,83,Residential,Apartment,1987,2,1,1,1,0,0,"199,900"
12,"1805+Belval+Crescent,Orleans/sunridge+Ottawa",45.4601678,-75.5138382,K1C 6J5,23,Residential,Detached,1987,4,3,6,2,30.5,9.9,"549,900"
